search_name,search_query,title,published,link,past_days,published_dt_utc
Brand search Google News and X - PROTEST,"(""Gucci"" OR ""Ralph Lauren"" OR ""Dior"" OR ""Armani"" OR ""louis Vuitton"" OR ""Valentino"" OR ""Burberry"" OR ""dolce & gabbana"" OR ""Polo Ralph Lauren"" OR ""Cartier"" OR ""Calvin Klein""  OR ""Hilfiger"" OR ""Tommy H"" OR ""Timberland"" OR ""Prada"" OR ""Nike"" OR ""Balenciaga"" OR ""Canada Goose"" ) AND (""protest"")",Dallas woman goes to Burberry to return $900 bathing suit. Then she gets ‘financially profiled’: ‘I need to call my manager’ - The Mary Sue,"Sun, 21 Dec 2025 21:00:00 GMT",https://news.google.com/rss/articles/CBMickFVX3lxTE1LQmhJeWw0eWxQUWNWQUlDUy1jbllZUUVFdDZ3S09YTl85YVFaaTJGdVNZR3RTN1l5ekVkR0c4T2R6cXBRQS10M0FPdVFuWFVDSndHMTlsVjdyaWRRaGlHMEJzY0tJSm1UOGFPUUJjUUd1UQ?oc=5,1,2025-12-21 21:00:00+00:00
Value Retail,"(""valueretail"" OR ""Value retail"" OR ""Bicester Collection"")",J.P. Morgan Keeps Their Sell Rating on Koninklijke Ahold Delhaize N.V. (0RI8) - The Globe and Mail,"Sun, 21 Dec 2025 08:02:59 GMT",https://news.google.com/rss/articles/CBMi7wFBVV95cUxNOFJKOTdldUVhYThyRGR0QkFXcGFRSXY1TGF5UUQ2WFhQc1VqVlBFYzd3QmFYVTd1dGptQTBVaVFCVHJQYk1kTG5GdXNHODFCT2FiUTE3ZnRUMmhaQVhiQnhFYXY2S2tjYTN5NWNfVGdTTnlUOW5jLWV0R1dfd3NQQXhzUmlVc2x6UlV0M0hCS2xNYm5JOVlaT05SMHFkOC00WXlrcGNseDIwb05wazNZaXM2Q3J1ZGhXc0N3R19Xdm11R0NtcGNWYUlXTGdVODQxT3VhbXZRdkQxQ0lkNWJwVjFhNXc3Y0lIcWFQSUhYVQ?oc=5,1,2025-12-21 08:02:59+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")",Evri sack delivery driver as pensioner's seven parcels go missing in Salisbury - Salisbury Journal,"Mon, 22 Dec 2025 05:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxQNlNPZFpnUEhLUXEwRjE1azZ5SHI0U2kyNjhDVjlMVDhEMjhyTnUxVE9PdjZBTS1Iak1tUjVVcnhIaWxsRzBIREp2aDN6MFY3UDVCdTVhNVA4T0FYUWV3UHBXWE1jZjdOTjVlT2RYUnJGb1AtQ2VLMEh1SzBGeTBVWkJPaGZ4ZnRyNG1xeXRXMTRCODVDTnpqWUoxc0QyNDVKTndr?oc=5,1,2025-12-22 05:00:00+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")",Last minute shopper? Amazon Australia announces delivery cut-off date so your gifts arrive in time for Christmas - dailymail.co.uk,"Mon, 22 Dec 2025 05:18:36 GMT",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNSGNfcFF2TzZNR3pSb3B4Ulk4cHlfdE1yUkNsRnp1S3pNQjdpWHJ0TWtDczBqT0haUnpOZkVGdGgxSGpIREhkN2ozdEVCRzl5dFZyS0xfMXlzNS1FWC1PS00ybXlUM0Iwc2xMLWZtdGllc090R2JKN1JOZnE0TTJ0NkZUR3ZLd2JMcG0wUk9GaEcxaFRKV1lrYklxbU9yVVF2U3JsTElRZDFXR3gyVWVfUXJGaWNnaTdkcEljakFTMGtUSnhIRGhnWEdYdEtJNks5ckY2Vk5XNDlmRjhEbzR6WnpEV2bSAeoBQVVfeXFMTkQyaXphWjlzR3NIXzhxRVRia1ZnTzVsdENaSndGMG1OWTNJRkNDbnkyR3VJOWgxRE5sU2tucVVRdExRQlltUmhXRkNsMDM5SVpNaEFSSll5eGlibHZSbndQcWVsbzVpUU1wb3ZYWEwzOUNiZS1sdFVOT19US2Y1bG1mcjlBeENZNExHYnFoaEhhZ1JwbGduQWJTUzRtaVd3djk1MGd5YzZPSjdtYUIzandPZVZZaU0yN3F1SHROQ3RtYTQ4aXdKNDRTZm1yX2Nnbk9JLU01VFByV3VlMWNKcndzRXlFLVd1dWpR?oc=5,1,2025-12-22 05:18:36+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")","Evri to recruit 2,500 workers as delivery giant expands amid Panorama scrutiny - Yorkshire Post","Sun, 21 Dec 2025 11:30:00 GMT",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPOU51ekJwaEl2ZW9UWlZXM3Mwc2pLU0FvZ3lvVG01d1hWT3BfVi1jME5ONG8zSTBNX3VFLUZDQ3VMV1NNU2h0MVhUQmFFUGdfMWhiSlAxTnhhS19hRWtoSDB6ZnQ5WkdaeXNSNmFzM2VSMUVleTRaQ2g5N3phc0VUOFVHc0h4QmZLeGpnRXF0WGhCZ0RhVHhCSUJrVFRRODRxSDlFZm4tcUs?oc=5,1,2025-12-21 11:30:00+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")",Hisense 55-inch 4K TV cut by £250 with free delivery before Christmas available - Daily Record,"Sun, 21 Dec 2025 17:20:00 GMT",https://news.google.com/rss/articles/CBMiggFBVV95cUxPRzVoRFNvUDR4SVo1aDhELUdJV2p3LU9kY3pVTUdNN0ZzYldMcUV2SkhCSy1mc3lJQnF5bmdwUVpob3dqYWZnbUJNV1QyZDNLb056RXZrUWs5bmxRU1JuT3NXSGRhQ0d4WkN2cUtTeVFlQ0dIS0R1dk5YQ3o5WHM0NEtn0gGHAUFVX3lxTFBaVHhSS3ZVMkhVMldDSDBRV3dmaXB4ZGhxaF9taVdRU2k4MGpfcW1hUVMyN1pURkpLV2Vhc1pOUm9hc29KeGJIMndER2hnYWJfRmU2MTNaYTFucnZXdnBBNGFhSGstUFc2NjlHUlVuWGlvdlRaMlBWajlkaDVNLW1uVW0yYWZJMA?oc=5,1,2025-12-21 17:20:00+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")","We sent five Christmas packages across Britain: Royal Mail, Parcelforce, Evri and DPD - only one arrived on time and unbroken, so can you guess which? - dailymail.co.uk","Sun, 21 Dec 2025 15:36:27 GMT",https://news.google.com/rss/articles/CBMinwFBVV95cUxPSWJERnJaTUNQVk1GanVJbDJCeW5LSk1ESGN3SGt3WnJ0OWhiUC1TSS1MWWtBZXdZYnZTT3RXbEltWnJBWGRwTnRyUlBFYVg4a2FTR09YeFUyLUIxbU5JVkFKTVlJRGktWkp5YkxYRFhfaEUzZHhwdmEyLVJzTksybkh0SzNiWHlqaUQ3Wlh1Z1NhVU53X2tCcHNQWmd6a2PSAaQBQVVfeXFMT2xBdEVGcElEdk1JampRLWNBTnl5di02dXFZaVRFeWI1SlIzc0xPYzJPeWZKWlJ4Sks5UDZmZVJ6dTYxdlRMSEhKTmxpeWQxcmdHbUpkbkllRUIyVWtqM1Q0RkdQQTd2LXNrVjRTM3BpNEszTFN4YzNyOTY5NjlPcElBLUM1SFVlTlJ1cXZDUTJ6OEptbUk2WGlNZ05nR0RQNXlfZjU?oc=5,1,2025-12-21 15:36:27+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")","“Customers value low prices, vast selection, and high levels of convenience over delivery speed.” On #YoungTurksReloaded, Udit Madan, Senior VP of Amazon Worldwide Operations, shares the future of delivery: “Customers will still want millions of products - LinkedIn","Sun, 21 Dec 2025 14:27:47 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxOZl9DZkFzamI5cENyYmhLWHJWZWNKQWxyUWdUOWhmdVBYWkxFNFc5aEhqX1h2VUVlNkdYQlFJb0FiMThFY3lNVFpIRnVBTkNtd3NScXYzeTVkbVNuR1prbnFlYlBWWDcxODg1ZzJYUEgxYjRlUXBKbkdIdGNWbFNQRHdZS2ZXTVVjOHExaDY0TlFSbVdHU0R6LXowZmxjUEVQU2V1S2hMNDBEZ3JELXRj?oc=5,1,2025-12-21 14:27:47+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")",Amazon delivery center in Weatherford to bring faster delivery for rural communities - KOCO,"Mon, 22 Dec 2025 04:10:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQX2RvenNVaFNoeldraGdsWlpaaDBNeWRobnFydUtWbDBGX0EzV3pOME9VYXFSUXJDTF8zM2QzNE1KTjBxVXQ3U1RkREJyUHgyYkZtR1JmcG94X2JRSDZxNlVHQWtfcl9Bd21pai1NRDFuS1p1N1Z0XzhHZkNNeGZUcUhTZlVTQ29K?oc=5,1,2025-12-22 04:10:00+00:00
BV Logistics Companies,"(""Dropit"" OR ""DHL"" OR ""UPS"" OR ""DPD"" OR ""Flight Logistics"" OR ""Fedex"" OR ""Amazon"" OR ""Royal Mail"" OR ""Parcelforce"" OR ""EVRI"" ) AND ( ""supply "" OR  ""delivery"")",Watch UPS Driver beat the heat by joining Slip 'N Slide party! - AOL.com,"Mon, 22 Dec 2025 06:38:03 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE1wOERmeVdPWVdMNWVETWx2YTNObjBveklMdk9ocldUWFBkQl9wdzZoZ2dVVDg1TTlDRk1JNW5pSzNFNFFvQ0tJRjdzeGtMMFFPaTJlOEZLYWZsZGdNQmp6UGl3NC1wTE4zbE5OTU5B?oc=5,1,2025-12-22 06:38:03+00:00
